Civ_Draft,draft_host,draft_guest,Preset,player,executingPlayer,actionType,Civ,isRandomlyChosen,offset,action,PickNo,FirstPick,GlobalBan,Picker
BmiHK,mb,TheMax,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,pick,Mongols,FALSE,64909,NA,3,0,0,TheMax
BmiHK,mb,TheMax,Hidden Cup 5 Qualifier Bo5,HOST,HOST,pick,Chinese,FALSE,66625,NA,4,0,0,MbL
BmiHK,mb,TheMax,Hidden Cup 5 Qualifier Bo5,HOST,HOST,pick,Malay,FALSE,89650,NA,5,0,0,MbL
BmiHK,mb,TheMax,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,pick,Bohemians,FALSE,115398,NA,6,0,0,TheMax
BmiHK,mb,TheMax,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,pick,Malians,FALSE,144382,NA,7,0,0,TheMax
BmiHK,mb,TheMax,Hidden Cup 5 Qualifier Bo5,HOST,HOST,pick,Gurjaras,FALSE,153178,NA,8,0,0,MbL
BmiHK,mb,TheMax,Hidden Cup 5 Qualifier Bo5,HOST,HOST,pick,Portuguese,FALSE,175872,NA,9,0,0,MbL
BmiHK,mb,TheMax,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,pick,Hindustanis,FALSE,202618,NA,10,0,0,TheMax
BmiHK,mb,TheMax,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,pick,Aztecs,FALSE,225553,NA,11,0,0,TheMax
BmiHK,mb,TheMax,Hidden Cup 5 Qualifier Bo5,HOST,HOST,pick,Teutons,FALSE,227515,NA,12,0,0,MbL
BnOqM,El_Matador,TheMax,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Georgians,FALSE,17535,NA,1,0,1,El_Matador
BnOqM,El_Matador,TheMax,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Ethiopians,FALSE,21160,NA,2,0,1,TheMax
BnOqM,El_Matador,TheMax,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Lithuanians,FALSE,27067,NA,3,0,1,TheMax
BnOqM,El_Matador,TheMax,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Cumans,FALSE,47222,NA,4,0,1,El_Matador
BnOqM,El_Matador,TheMax,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Byzantines,FALSE,75673,NA,5,0,1,El_Matador
BnOqM,El_Matador,TheMax,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Japanese,FALSE,87144,NA,6,0,1,TheMax
BnOqM,El_Matador,TheMax,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Persians,FALSE,90720,NA,1,1,0,TheMax
BnOqM,El_Matador,TheMax,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Mongols,FALSE,91763,NA,2,1,0,El_Matador
BnOqM,El_Matador,TheMax,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Chinese,FALSE,106828,NA,3,0,0,TheMax
BnOqM,El_Matador,TheMax,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Hindustanis,FALSE,133691,NA,4,0,0,El_Matador
BnOqM,El_Matador,TheMax,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Britons,FALSE,161220,NA,5,0,0,El_Matador
BnOqM,El_Matador,TheMax,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Malians,FALSE,172632,NA,6,0,0,TheMax
BnOqM,El_Matador,TheMax,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,pick,Khmer,FALSE,181418,NA,7,0,0,TheMax
BnOqM,El_Matador,TheMax,Hidden Cup 5 Qualifier Bo3,HOST,HOST,pick,Armenians,FALSE,212428,NA,8,0,0,El_Matador
bQGzi,Fox.Mihai06,FOX.Margougou,Hidden Cup 5 Qualifier Bo5,HOST,HOST,ban,Bohemians,FALSE,9525,NA,1,0,1,Mihai06
bQGzi,Fox.Mihai06,FOX.Margougou,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,ban,Cumans,FALSE,26803,NA,2,0,1,Margougou
bQGzi,Fox.Mihai06,FOX.Margougou,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,ban,Portuguese,FALSE,42284,NA,3,0,1,Margougou
bQGzi,Fox.Mihai06,FOX.Margougou,Hidden Cup 5 Qualifier Bo5,HOST,HOST,ban,Malians,FALSE,55947,NA,4,0,1,Mihai06
bQGzi,Fox.Mihai06,FOX.Margougou,Hidden Cup 5 Qualifier Bo5,HOST,HOST,ban,Chinese,FALSE,59516,NA,5,0,1,Mihai06
bQGzi,Fox.Mihai06,FOX.Margougou,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,ban,Italians,FALSE,88043,NA,6,0,1,Margougou
bQGzi,Fox.Mihai06,FOX.Margougou,Hidden Cup 5 Qualifier Bo5,HOST,HOST,pick,Armenians,FALSE,93014,NA,1,1,0,Mihai06
bQGzi,Fox.Mihai06,FOX.Margougou,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,pick,Malay,FALSE,98037,NA,2,1,0,Margougou
bQGzi,Fox.Mihai06,FOX.Margougou,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,pick,Japanese,FALSE,127223,NA,3,0,0,Margougou
bQGzi,Fox.Mihai06,FOX.Margougou,Hidden Cup 5 Qualifier Bo5,HOST,HOST,pick,Georgians,FALSE,147766,NA,4,0,0,Mihai06
bQGzi,Fox.Mihai06,FOX.Margougou,Hidden Cup 5 Qualifier Bo5,HOST,HOST,pick,Bengalis,FALSE,162167,NA,5,0,0,Mihai06
